year,month,tavg,tmax,tmin,pcp,zndx
2000,1,27.3,36.0,18.6,1.53,-1.38
2000,2,37.4,46.4,28.4,2.53,0.11
2000,3,46.2,57.5,34.8,2.03,-2.1
2000,4,51.5,63.7,39.3,2.99,-0.76
2000,5,65.1,75.8,54.3,4.4,-0.07
2000,6,70.3,80.4,60.1,7.34,4.14
2000,7,73.2,82.9,63.4,4.36,1.41
2000,8,74.6,85.0,64.2,3.56,0.66
2000,9,66.3,78.6,54.0,3.81,1.01
2000,10,58.0,69.6,46.3,2.1,-0.69
2000,11,38.9,47.1,30.7,3.18,0.99
2000,12,17.6,25.9,9.3,1.94,0.24
2001,1,25.7,33.3,18.0,1.72,-0.01
2001,2,30.9,39.6,22.2,3.19,2.23
2001,3,37.1,46.8,27.4,1.22,-2.11
2001,4,57.6,69.8,45.5,2.84,-1.84
2001,5,64.8,75.9,53.6,4.35,-0.08
2001,6,69.8,80.4,59.3,3.81,0.07
2001,7,75.9,86.6,65.3,3.78,0.31
2001,8,74.6,85.6,63.7,4.07,0.79
2001,9,64.4,76.4,52.5,3.37,0.45
2001,10,53.8,64.6,43.1,6.08,4.15
2001,11,49.9,61.1,38.7,2.62,0.55
2001,12,35.8,43.8,27.9,2.6,0.85
2002,1,33.6,42.6,24.6,2.22,0.57
2002,2,34.6,43.7,25.5,1.83,0.09
2002,3,37.8,47.7,27.9,3.36,0.68
2002,4,53.5,64.3,42.7,5.11,1.47
2002,5,59.1,69.9,48.2,7.34,4.03
2002,6,73.9,84.7,63.1,4.02,-0.3
2002,7,78.2,89.1,67.3,2.6,-1.58
2002,8,75.0,85.5,64.4,4.19,0.4
2002,9,69.3,82.1,56.5,2.11,-2.03
2002,10,52.1,62.0,42.2,3.07,0.21
2002,11,39.6,48.4,30.8,1.04,-2.48
2002,12,32.2,40.8,23.5,2.17,-1.34
2003,1,22.8,31.2,14.3,0.65,-2.1
2003,2,26.4,34.9,18.0,1.83,-0.45
2003,3,41.6,52.8,30.4,1.98,-1.58
2003,4,53.5,65.3,41.6,3.18,-0.82
2003,5,61.1,71.7,50.4,5.5,1.73
2003,6,67.9,78.9,56.8,3.79,0.32
2003,7,74.8,85.4,64.1,5.0,1.96
2003,8,75.3,86.5,64.0,2.55,-0.83
2003,9,64.1,75.9,52.2,4.25,1.53
2003,10,54.5,66.9,42.1,1.98,-0.52
2003,11,44.8,53.9,35.7,4.51,1.93
2003,12,33.8,41.3,26.2,2.56,0.91
2004,1,24.7,32.7,16.6,1.98,0.32
2004,2,30.0,38.9,21.2,0.76,-1.36
2004,3,45.4,55.0,35.7,4.14,0.82
2004,4,54.1,66.0,42.2,1.8,-2.55
2004,5,65.7,76.2,55.2,6.83,2.36
2004,6,70.0,80.4,59.5,3.17,-0.72
2004,7,72.8,82.6,63.1,4.13,0.98
2004,8,68.6,79.5,57.6,5.08,2.98
2004,9,67.7,80.8,54.6,0.68,-2.74
2004,10,55.4,65.9,44.9,4.84,2.35
2004,11,45.6,53.4,37.7,4.76,2.74
2004,12,31.0,39.6,22.5,1.8,0.08
2005,1,29.2,36.5,21.8,5.34,4.64
2005,2,36.1,43.9,28.3,1.88,0.05
2005,3,39.0,48.9,29.0,1.56,-1.85
2005,4,55.4,67.4,43.4,2.57,-1.83
2005,5,60.9,73.4,48.4,1.74,-2.34
2005,6,75.0,86.6,63.4,1.87,-3.27
2005,7,76.3,87.6,65.1,3.23,-1.49
2005,8,75.6,86.5,64.8,3.68,-0.8
2005,9,70.7,82.9,58.5,3.63,-0.79
2005,10,55.7,67.1,44.3,1.26,-2.57
2005,11,44.5,54.6,34.4,3.51,-1.19
2005,12,26.0,32.9,19.1,1.16,-2.71
2006,1,38.1,45.6,30.6,2.74,-0.32
2006,2,30.9,41.1,20.7,0.88,-1.65
2006,3,41.8,51.2,32.3,4.58,1.86
2006,4,57.0,69.7,44.4,3.79,-0.62
2006,5,62.3,72.6,52.0,3.58,-0.54
2006,6,71.4,82.6,60.2,2.98,-1.15
2006,7,77.1,87.6,66.6,4.09,0.24
2006,8,74.7,84.7,64.7,4.05,0.55
2006,9,63.7,74.6,52.9,3.43,0.47
2006,10,51.3,62.2,40.4,3.8,1.63
2006,11,44.4,53.6,35.2,3.32,0.98
2006,12,35.3,43.6,27.0,3.4,1.82
2007,1,30.3,37.9,22.7,2.93,1.54
