year,month,tavg,tmax,tmin,pcp,zndx
2000,1,38.8,49.3,28.4,4.92,1.43
2000,2,45.6,58.2,33.0,2.01,-2.39
2000,3,53.4,66.5,40.4,3.36,-1.67
2000,4,56.9,68.5,45.2,4.97,2.06
2000,5,69.1,81.8,56.4,2.7,-2.04
2000,6,75.0,85.8,64.2,4.49,-0.29
2000,7,75.4,85.0,65.7,5.23,-0.46
2000,8,75.0,85.0,64.9,5.18,-0.15
2000,9,69.1,78.5,59.6,6.36,2.16
2000,10,59.7,74.0,45.3,0.08,-2.82
2000,11,47.5,59.1,35.9,3.14,-0.15
2000,12,35.1,45.4,24.8,1.92,-1.41
2001,1,39.3,50.7,28.0,2.02,-2.06
2001,2,46.4,58.0,34.7,2.76,-1.55
2001,3,47.2,58.3,36.1,5.25,1.4
2001,4,59.8,72.7,46.9,1.68,-2.61
2001,5,66.3,79.0,53.7,3.27,-1.3
2001,6,74.3,84.5,64.2,5.94,1.75
2001,7,74.6,84.2,64.9,5.35,0.38
2001,8,76.7,86.9,66.4,4.19,-0.84
2001,9,67.6,78.4,56.8,2.99,-0.87
2001,10,57.7,71.9,43.4,1.21,-2.15
2001,11,54.8,69.0,40.6,1.15,-3.48
2001,12,48.0,59.4,36.6,2.0,-3.36
2002,1,42.6,54.2,31.0,4.97,1.21
2002,2,44.4,57.0,31.8,1.64,-2.7
2002,3,51.1,63.5,38.7,4.64,0.19
2002,4,62.5,75.0,50.0,1.88,-2.83
2002,5,65.3,77.7,52.9,2.79,-1.81
2002,6,75.2,87.1,63.2,2.97,-2.3
2002,7,78.7,89.5,67.9,4.48,-2.45
2002,8,77.0,88.0,65.9,4.97,-1.42
2002,9,72.2,81.5,63.0,4.65,-0.65
2002,10,62.1,70.4,53.7,5.46,1.25
2002,11,48.1,58.9,37.4,4.51,1.67
2002,12,40.5,50.6,30.4,4.57,1.44
2003,1,36.4,46.6,26.2,2.2,-1.69
2003,2,41.4,51.2,31.7,5.19,1.69
2003,3,52.8,63.8,41.7,5.95,1.55
2003,4,57.6,69.0,46.3,6.42,3.8
2003,5,65.8,75.4,56.1,7.46,4.34
2003,6,72.5,82.6,62.4,5.53,1.92
2003,7,76.6,85.8,67.4,7.7,2.74
