year,month,tavg,tmax,tmin,pcp,zndx
2000,1,43.5,54.0,32.9,5.8,2.37
2000,2,49.6,63.4,35.7,1.62,-2.4
2000,3,57.8,71.2,44.5,4.08,-0.75
2000,4,60.4,73.0,47.8,2.79,-0.38
2000,5,73.4,86.7,60.0,1.21,-3.2
2000,6,78.4,90.3,66.5,3.79,-1.7
2000,7,79.8,90.8,68.8,4.83,-1.18
2000,8,78.8,89.1,68.4,4.1,-1.67
2000,9,72.2,81.8,62.6,7.63,2.96
2000,10,62.6,77.0,48.2,0.02,-2.42
2000,11,51.8,64.2,39.6,3.5,0.84
2000,12,38.6,49.0,28.1,1.87,-1.04
2001,1,43.3,55.2,31.4,2.02,-1.57
2001,2,51.3,63.1,39.5,2.4,-1.72
2001,3,52.3,63.9,40.7,6.38,1.94
2001,4,63.5,76.6,50.4,0.96,-2.8
2001,5,70.7,84.2,57.3,2.61,-1.66
2001,6,77.0,87.3,66.7,5.4,0.39
2001,7,78.4,88.2,68.5,5.24,-0.14
2001,8,79.9,90.6,69.2,2.66,-2.87
2001,9,71.2,82.1,60.4,3.72,-0.56
2001,10,60.9,75.3,46.5,0.88,-2.16
2001,11,59.0,73.1,44.8,0.98,-3.07
2001,12,52.0,64.2,39.8,1.47,-4.02
2002,1,47.0,59.0,34.9,3.49,-1.72
2002,2,47.9,61.0,34.7,2.06,-2.66
2002,3,56.0,69.0,43.0,4.28,-0.17
2002,4,67.4,79.6,55.1,1.84,-2.47
2002,5,68.6,81.2,56.0,3.49,-0.23
2002,6,77.8,89.4,66.2,3.01,-1.75
2002,7,81.9,93.2,70.7,3.25,-3.0
2002,8,79.6,90.8,68.4,5.94,-0.19
2002,9,75.8,84.5,67.1,5.4,0.26
2002,10,66.4,74.8,58.0,4.73,1.07
2002,11,51.8,63.2,40.4,4.42,1.99
2002,12,44.2,55.0,33.4,4.63,1.82
2003,1,41.5,53.0,30.1,1.76,-1.75
2003,2,46.6,57.6,35.6,4.14,0.39
2003,3,57.0,67.4,46.5,7.52,2.5
2003,4,61.1,72.2,50.0,6.0,2.97
2003,5,70.2,80.1,60.2,5.72,2.4
2003,6,76.0,86.4,65.5,6.39,2.55
2003,7,79.0,88.1,69.9,8.37,3.46
2003,8,79.7,88.6,70.7,4.61,0.04
2003,9,72.4,82.9,61.8,2.98,-0.41
2003,10,63.2,74.7,51.6,3.53,0.72
2003,11,58.6,71.7,45.5,1.6,-1.4
2003,12,43.0,55.9,30.2,2.57,-0.67
2004,1,43.0,55.1,30.8,1.77,-1.82
2004,2,44.2,54.4,33.9,5.14,1.54
2004,3,57.2,70.7,43.6,0.92,-3.58
2004,4,62.5,76.5,48.4,2.02,-1.77
2004,5,74.1,86.0,62.3,2.89,-1.83
2004,6,78.5,88.0,69.0,6.35,1.04
2004,7,80.3,90.5,70.0,4.96,-0.8
2004,8,77.0,86.4,67.6,6.99,1.78
2004,9,73.2,81.7,64.7,8.26,4.22
2004,10,66.1,75.3,56.9,1.43,-1.14
2004,11,56.5,67.6,45.4,2.92,0.21
2004,12,45.6,58.0,33.1,2.2,-0.78
2005,1,47.6,58.9,36.3,2.02,-1.86
2005,2,48.3,59.1,37.4,3.82,-0.05
2005,3,52.4,64.5,40.2,4.87,0.54
2005,4,60.5,73.6,47.4,2.74,-0.45
2005,5,67.5,79.8,55.2,3.77,0.68
2005,6,76.2,85.4,67.1,6.83,2.98
2005,7,81.6,91.1,72.0,5.79,0.58
2005,8,80.5,89.6,71.4,4.96,-0.11
2005,9,77.1,88.5,65.8,0.65,-3.52
2005,10,65.2,75.9,54.4,4.67,0.99
2005,11,55.7,68.7,42.7,3.2,0.22
2005,12,44.2,55.8,32.6,4.19,0.95
2006,1,50.6,62.4,38.7,3.29,-0.77
2006,2,46.5,57.9,35.1,2.96,-0.8
2006,3,54.4,66.8,42.0,1.24,-2.99
2006,4,66.0,79.9,52.0,2.56,-1.51
2006,5,68.8,81.4,56.2,2.54,-1.09
2006,6,76.5,88.0,64.9,6.8,2.32
2006,7,80.5,91.7,69.3,2.96,-2.14
2006,8,81.1,91.2,71.0,5.11,-0.91
2006,9,72.4,82.4,62.3,4.55,0.25
2006,10,61.4,73.7,49.2,3.03,0.14
2006,11,54.2,66.8,41.7,4.98,2.3
2006,12,51.0,63.5,38.6,3.71,0.38
2007,1,48.4,59.2,37.5,3.66,-0.2
2007,2,45.2,57.6,32.7,2.54,-1.14
2007,3,58.5,72.2,44.7,2.57,-2.21
2007,4,60.9,74.9,46.9,2.54,-0.72
2007,5,69.1,82.6,55.6,1.44,-2.19
2007,6,77.2,88.3,66.0,4.72,-0.11
2007,7,78.5,89.0,67.9,3.79,-1.49
2007,8,84.0,95.8,72.3,2.94,-3.6
2007,9,75.7,87.0,64.4,2.25,-2.78
2007,10,68.4,79.5,57.3,2.76,-1.41
