,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,24.6,34.1,15.1,3.45,-0.26
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,31.3,40.4,22.2,2.59,-0.8
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,41.9,53.0,30.8,4.11,-0.61
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,46.1,56.0,36.2,5.02,1.0
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,57.9,69.3,46.5,4.49,0.27
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,66.0,76.9,55.2,6.22,2.56
2000-07-01,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,67.8,77.9,57.6,6.23,3.18
2000-08-01,2000.0,8.0,0.0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384,67.9,77.7,58.2,3.42,0.11
2000-09-01,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,,-1.8369701987210294e-16,-1.0,61.2,72.1,50.2,4.14,0.44
2000-10-01,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.5,-0.8660254037844386,51.1,62.4,39.7,1.14,-1.9
2000-11-01,2000.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.8660254037844384,-0.5000000000000004,40.5,48.7,32.3,3.71,-0.5
2000-12-01,2000.0,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,-2.4492935982947064e-16,26.1,34.8,17.4,4.22,0.34
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,25.8,35.7,16.0,2.45,-1.24
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,29.5,38.9,20.1,2.56,-0.84
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,34.1,42.0,26.3,7.68,3.81
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,47.9,60.0,35.8,1.59,-2.91
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,58.9,71.1,46.6,4.11,-0.22
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,68.1,79.2,57.0,6.4,2.49
2001-07-01,2001.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,68.2,80.0,56.4,2.19,-1.18
2001-08-01,2001.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,72.8,83.3,62.3,3.84,-0.65
2001-09-01,2001.0,9.0,3.0,3.0,0.0,0.0,1.0,0.0,-1.8369701987210294e-16,-1.0,62.5,74.0,51.0,3.93,-0.23
2001-10-01,2001.0,10.0,0.0,3.0,3.0,0.0,2.0,0.0,0.5,-0.8660254037844386,52.7,64.8,40.6,1.26,-2.54
2001-11-01,2001.0,11.0,0.0,0.0,3.0,3.0,2.0,0.0,0.8660254037844384,-0.5000000000000004,45.3,55.7,34.8,1.08,-4.01
2001-12-01,2001.0,12.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,-2.4492935982947064e-16,37.1,45.8,28.4,2.45,-2.73
2002-01-01,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,33.3,41.9,24.7,1.94,-2.21
2002-02-01,2002.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,34.1,44.9,23.2,1.67,-2.18
2002-03-01,2002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,38.6,48.9,28.2,4.12,-0.26
2002-04-01,2002.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,50.1,61.4,38.7,3.75,-0.87
2002-05-01,2002.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,55.1,66.6,43.6,5.21,1.31
2002-06-01,2002.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,65.5,77.1,53.8,5.03,1.37
2002-07-01,2002.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,72.8,84.2,61.3,2.59,-1.26
2002-08-01,2002.0,8.0,3.0,0.0,0.0,0.0,0.0,3.0,-0.5000000000000004,-0.8660254037844384,71.9,83.1,60.7,3.62,-0.86
2002-09-01,2002.0,9.0,5.0,3.0,0.0,0.0,1.0,3.0,-1.8369701987210294e-16,-1.0,64.8,75.5,54.1,4.82,0.29
2002-10-01,2002.0,10.0,2.0,5.0,3.0,0.0,2.6666666666666665,0.0,0.5,-0.8660254037844386,49.6,59.0,40.1,4.3,0.76
