,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,21.6,31.5,11.8,0.73,-1.03
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,32.5,42.0,23.0,1.37,0.19
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,43.1,54.6,31.5,1.0,-2.77
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,49.4,62.2,36.6,2.03,-1.57
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,62.8,74.9,50.7,3.6,-0.93
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,67.7,78.7,56.7,6.56,2.65
2000-07-01,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,72.2,81.8,62.6,4.09,0.95
2000-08-01,2000.0,8.0,0.0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384,72.7,83.0,62.5,2.62,-1.2
2000-09-01,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,,-1.8369701987210294e-16,-1.0,64.6,78.0,51.3,2.11,-1.75
2000-10-01,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.5,-0.8660254037844386,54.8,66.2,43.4,1.8,-1.28
2000-11-01,2000.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.8660254037844384,-0.5000000000000004,32.2,40.4,24.0,2.15,0.17
2000-12-01,2000.0,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,-2.4492935982947064e-16,10.0,18.6,1.4,1.67,0.62
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,20.8,29.1,12.5,1.42,1.01
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,18.1,26.9,9.2,2.16,2.64
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,30.2,38.4,22.0,1.3,-0.5
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,52.7,65.1,40.3,3.6,0.42
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,60.9,71.1,50.8,7.04,3.81
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,68.3,78.9,57.7,4.07,-0.42
2001-07-01,2001.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,75.1,85.4,64.7,3.12,-0.74
2001-08-01,2001.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,72.5,83.5,61.5,2.97,-1.34
2001-09-01,2001.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,61.2,72.3,50.1,4.07,0.52
2001-10-01,2001.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.8660254037844386,50.2,61.7,38.7,2.46,0.39
2001-11-01,2001.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004,48.0,59.0,36.9,1.55,-1.46
2001-12-01,2001.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,30.7,39.7,21.8,0.83,-0.78
2002-01-01,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,28.6,38.8,18.4,0.4,-1.11
2002-02-01,2002.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,29.8,39.7,19.9,0.89,-0.18
2002-03-01,2002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,31.0,41.6,20.5,1.16,-0.85
2002-04-01,2002.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,48.9,60.3,37.4,3.62,1.06
2002-05-01,2002.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,56.8,69.1,44.6,4.1,0.82
2002-06-01,2002.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,72.4,83.3,61.4,3.51,-1.78
2002-07-01,2002.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,76.5,87.4,65.6,4.24,0.17
2002-08-01,2002.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,70.9,81.6,60.1,5.81,2.29
2002-09-01,2002.0,9.0,20.0,2.0,0.0,0.0,0.6666666666666666,0.0,-1.8369701987210294e-16,-1.0,65.3,77.8,52.8,1.71,-1.98
2002-10-01,2002.0,10.0,5.0,20.0,2.0,0.0,7.333333333333333,0.0,0.5,-0.8660254037844386,46.2,56.0,36.4,3.58,2.16
2002-11-01,2002.0,11.0,0.0,5.0,20.0,2.0,9.0,0.0,0.8660254037844384,-0.5000000000000004,34.7,44.6,24.8,0.22,-1.46
2002-12-01,2002.0,12.0,0.0,0.0,5.0,20.0,8.333333333333334,0.0,1.0,-2.4492935982947064e-16,28.9,39.1,18.7,0.24,-1.46
2003-01-01,2003.0,1.0,0.0,0.0,0.0,5.0,1.6666666666666667,0.0,0.8660254037844387,0.4999999999999999,19.1,28.7,9.4,0.39,-1.03
2003-02-01,2003.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,20.4,31.2,9.6,0.82,-0.21
2003-03-01,2003.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,35.1,46.0,24.1,1.15,-1.06
2003-04-01,2003.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,50.4,62.3,38.5,3.25,0.31
