year,month,tavg,tmax,tmin,pcp,zndx
2000,1,25.7,32.9,18.4,3.41,-0.21
2000,2,32.0,40.2,23.7,3.05,1.25
2000,3,34.5,45.7,23.3,1.92,-1.05
2000,4,45.3,58.2,32.4,1.5,-1.66
2000,5,50.3,62.5,38.1,2.05,-0.26
2000,6,58.6,73.6,43.5,0.86,-1.93
2000,7,66.5,83.1,50.0,0.35,-2.31
2000,8,66.3,83.2,49.4,0.31,-2.44
2000,9,54.0,68.1,39.9,1.65,0.68
2000,10,44.1,55.2,33.0,2.77,1.75
2000,11,25.7,34.5,16.9,1.34,-1.67
2000,12,24.2,32.1,16.3,1.68,-2.32
2001,1,23.0,31.8,14.1,1.37,-3.4
2001,2,25.1,34.5,15.8,1.18,-2.72
2001,3,36.6,47.2,25.8,1.58,-2.18
2001,4,40.1,51.5,28.8,2.33,0.92
2001,5,52.6,67.5,37.8,1.02,-2.5
2001,6,57.4,71.9,43.0,1.4,-1.3
2001,7,65.6,80.5,50.8,1.12,-0.75
2001,8,68.2,85.3,51.0,0.17,-2.4
2001,9,59.4,75.4,43.3,0.73,-1.68
2001,10,44.6,56.9,32.4,2.22,0.68
2001,11,36.2,45.4,27.0,2.51,-0.94
2001,12,22.1,29.7,14.5,3.5,0.25
2002,1,23.2,30.4,16.0,2.97,0.47
2002,2,23.9,34.9,13.0,1.33,-1.89
2002,3,30.1,40.2,20.0,2.39,0.47
2002,4,41.5,53.3,29.6,1.98,0.0
2002,5,48.7,61.8,35.7,1.53,-0.82
2002,6,58.8,73.0,44.6,1.42,-0.95
2002,7,69.0,85.2,52.8,0.51,-1.66
2002,8,61.8,77.7,46.0,0.51,-1.56
2002,9,55.9,70.6,41.2,1.03,-0.69
2002,10,41.0,54.2,27.8,0.63,-1.57
2002,11,32.8,42.5,23.1,1.6,-2.38
2002,12,28.8,35.8,21.9,3.08,-1.17
2003,1,31.4,38.6,24.2,3.19,-0.45
2003,2,27.1,36.6,17.6,2.01,-0.65
2003,3,36.3,45.9,26.7,3.31,1.18
2003,4,40.8,51.6,30.0,2.54,1.16
2003,5,49.9,62.8,37.0,2.02,-0.15
