,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,25.7,32.9,18.4,3.41,-0.21
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,32.0,40.2,23.7,3.05,1.25
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,34.5,45.7,23.3,1.92,-1.05
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,45.3,58.2,32.4,1.5,-1.66
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,50.3,62.5,38.1,2.05,-0.26
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,58.6,73.6,43.5,0.86,-1.93
2000-07-01,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,66.5,83.1,50.0,0.35,-2.31
2000-08-01,2000.0,8.0,0.0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384,66.3,83.2,49.4,0.31,-2.44
2000-09-01,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,,-1.8369701987210294e-16,-1.0,54.0,68.1,39.9,1.65,0.68
2000-10-01,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.5,-0.8660254037844386,44.1,55.2,33.0,2.77,1.75
2000-11-01,2000.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.8660254037844384,-0.5000000000000004,25.7,34.5,16.9,1.34,-1.67
2000-12-01,2000.0,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,-2.4492935982947064e-16,24.2,32.1,16.3,1.68,-2.32
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,23.0,31.8,14.1,1.37,-3.4
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,25.1,34.5,15.8,1.18,-2.72
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,36.6,47.2,25.8,1.58,-2.18
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,40.1,51.5,28.8,2.33,0.92
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,52.6,67.5,37.8,1.02,-2.5
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,57.4,71.9,43.0,1.4,-1.3
2001-07-01,2001.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,65.6,80.5,50.8,1.12,-0.75
2001-08-01,2001.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,68.2,85.3,51.0,0.17,-2.4
2001-09-01,2001.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,59.4,75.4,43.3,0.73,-1.68
2001-10-01,2001.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.8660254037844386,44.6,56.9,32.4,2.22,0.68
2001-11-01,2001.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004,36.2,45.4,27.0,2.51,-0.94
2001-12-01,2001.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,22.1,29.7,14.5,3.5,0.25
2002-01-01,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,23.2,30.4,16.0,2.97,0.47
2002-02-01,2002.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,23.9,34.9,13.0,1.33,-1.89
2002-03-01,2002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,30.1,40.2,20.0,2.39,0.47
2002-04-01,2002.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,41.5,53.3,29.6,1.98,0.0
2002-05-01,2002.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,48.7,61.8,35.7,1.53,-0.82
2002-06-01,2002.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,58.8,73.0,44.6,1.42,-0.95
2002-07-01,2002.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,69.0,85.2,52.8,0.51,-1.66
2002-08-01,2002.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,61.8,77.7,46.0,0.51,-1.56
2002-09-01,2002.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,55.9,70.6,41.2,1.03,-0.69
2002-10-01,2002.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.8660254037844386,41.0,54.2,27.8,0.63,-1.57
2002-11-01,2002.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004,32.8,42.5,23.1,1.6,-2.38
2002-12-01,2002.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,28.8,35.8,21.9,3.08,-1.17
2003-01-01,2003.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,31.4,38.6,24.2,3.19,-0.45
2003-02-01,2003.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,27.1,36.6,17.6,2.01,-0.65
2003-03-01,2003.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,36.3,45.9,26.7,3.31,1.18
2003-04-01,2003.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,40.8,51.6,30.0,2.54,1.16
2003-05-01,2003.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,49.9,62.8,37.0,2.02,-0.15
2003-06-01,2003.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,59.1,74.1,44.1,0.64,-2.33
2003-07-01,2003.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,70.4,87.7,53.2,0.3,-2.76
2003-08-01,2003.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,67.7,83.7,51.6,0.96,-1.45
2003-09-01,2003.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,56.7,71.9,41.4,0.72,-1.48
2003-10-01,2003.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.8660254037844386,48.7,62.2,35.1,0.8,-2.52
2003-11-01,2003.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004,28.2,37.0,19.4,2.45,-1.03
2003-12-01,2003.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,28.1,35.0,21.1,3.62,0.05
2004-01-01,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,22.8,30.5,15.1,2.9,0.04
2004-02-01,2004.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,26.3,35.2,17.5,2.19,-0.32
2004-03-01,2004.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,39.3,51.4,27.2,1.1,-3.71
2004-04-01,2004.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,44.6,57.3,31.8,1.37,-1.75
2004-05-01,2004.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,48.9,60.6,37.2,3.5,2.67
2004-06-01,2004.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,58.4,72.5,44.2,1.43,-0.7
2004-07-01,2004.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,66.3,81.9,50.7,0.91,0.37
2004-08-01,2004.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,63.7,78.5,48.9,1.9,2.29
2004-09-01,2004.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,53.7,67.0,40.4,1.55,0.89
2004-10-01,2004.0,10.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5,-0.8660254037844386,44.6,55.4,33.8,2.41,1.21
2004-11-01,2004.0,11.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.8660254037844384,-0.5000000000000004,32.7,41.6,23.8,1.38,-1.51
2004-12-01,2004.0,12.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,-2.4492935982947064e-16,28.5,35.8,21.2,2.54,-0.96
2005-01-01,2005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,26.5,34.4,18.5,1.81,-1.89
2005-02-01,2005.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,28.5,40.0,17.0,0.71,-3.02
2005-03-01,2005.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,35.9,46.8,25.0,2.44,-0.38
2005-04-01,2005.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,41.7,53.6,29.9,2.22,0.39
2005-05-01,2005.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,49.9,61.6,38.2,4.11,3.7
2005-06-01,2005.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,54.3,67.1,41.5,2.44,1.63
2005-07-01,2005.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,66.8,83.3,50.2,0.35,0.76
2005-08-01,2005.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,64.8,81.4,48.2,0.47,-0.91
2005-09-01,2005.0,9.0,0.0,3.0,0.0,0.0,1.0,1.0,-1.8369701987210294e-16,-1.0,54.1,69.2,38.9,0.93,-0.56
2005-10-01,2005.0,10.0,0.0,0.0,3.0,0.0,1.0,0.0,0.5,-0.8660254037844386,45.5,57.5,33.6,1.84,-0.06
2005-11-01,2005.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,0.8660254037844384,-0.5000000000000004,32.0,40.7,23.1,2.88,0.21
2005-12-01,2005.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,23.0,30.8,15.2,4.38,1.87
2006-01-01,2006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,27.9,35.1,20.7,4.71,3.35
2006-02-01,2006.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,24.4,35.0,13.9,1.79,-1.05
2006-03-01,2006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,32.4,42.2,22.6,2.69,0.93
2006-04-01,2006.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,42.8,54.1,31.5,3.07,1.7
2006-05-01,2006.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,51.8,66.0,37.6,1.63,-1.23
2006-06-01,2006.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,60.6,75.0,46.1,1.74,-0.75
2006-07-01,2006.0,7.0,36.0,1.0,0.0,0.0,0.3333333333333333,0.0,-0.8660254037844388,-0.4999999999999998,70.1,86.6,53.7,0.46,-2.03
2006-08-01,2006.0,8.0,92.0,36.0,1.0,0.0,12.333333333333334,3.0,-0.5000000000000004,-0.8660254037844384,63.7,80.4,47.1,0.4,-2.14
2006-09-01,2006.0,9.0,9.0,92.0,36.0,1.0,43.0,0.0,-1.8369701987210294e-16,-1.0,55.1,70.0,40.1,1.25,-0.22
2006-10-01,2006.0,10.0,1.0,9.0,92.0,36.0,45.66666666666666,0.0,0.5,-0.8660254037844386,43.0,55.0,31.0,1.58,-0.21
2006-11-01,2006.0,11.0,0.0,1.0,9.0,92.0,34.0,0.0,0.8660254037844384,-0.5000000000000004,33.1,41.7,24.5,4.34,2.11
2006-12-01,2006.0,12.0,0.0,0.0,1.0,9.0,3.333333333333333,0.0,1.0,-2.4492935982947064e-16,25.3,34.0,16.6,2.72,0.25
2007-01-01,2007.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.8660254037844387,0.4999999999999999,20.7,30.8,10.6,1.36,-1.83
2007-02-01,2007.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,30.8,39.6,22.1,2.45,0.16
2007-03-01,2007.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,38.9,50.7,27.2,1.45,-2.95
2007-04-01,2007.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,43.0,55.3,30.7,1.59,-1.02
2007-05-01,2007.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,52.0,66.3,37.6,1.09,-2.26
2007-06-01,2007.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.2246467991473532e-16,59.6,74.7,44.4,1.23,-1.83
2007-07-01,2007.0,7.0,1.0,0.0,0.0,0.0,0.0,36.0,-0.8660254037844388,-0.4999999999999998,72.0,88.7,55.4,0.38,-3.17
2007-08-01,2007.0,8.0,4.0,1.0,0.0,0.0,0.3333333333333333,92.0,-0.5000000000000004,-0.8660254037844384,65.4,81.7,49.0,0.51,-2.41
2007-09-01,2007.0,9.0,6.0,4.0,1.0,0.0,1.6666666666666667,9.0,-1.8369701987210294e-16,-1.0,54.9,69.4,40.4,1.26,-0.25
2007-10-01,2007.0,10.0,0.0,6.0,4.0,1.0,3.6666666666666665,1.0,0.5,-0.8660254037844386,43.1,54.0,32.3,2.58,1.54
2007-11-01,2007.0,11.0,0.0,0.0,6.0,4.0,3.333333333333333,0.0,0.8660254037844384,-0.5000000000000004,33.5,43.8,23.3,2.04,-0.97
2007-12-01,2007.0,12.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,-2.4492935982947064e-16,23.4,30.4,16.4,3.62,0.55
2008-01-01,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,19.9,28.6,11.2,3.53,1.53
2008-02-01,2008.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,27.6,36.7,18.5,2.23,-0.25
2008-03-01,2008.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,30.3,40.6,19.9,2.28,0.26
2008-04-01,2008.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,36.3,48.9,23.6,1.2,-0.32
2008-05-01,2008.0,5.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,-0.8660254037844387,0.4999999999999999,48.9,61.7,36.1,1.82,-0.33
2008-06-01,2008.0,6.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,-1.0,1.2246467991473532e-16,56.3,70.4,42.2,1.43,-0.57
