,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,52.6,63.4,41.8,2.1,-3.02
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,57.7,70.0,45.4,1.03,-3.94
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,63.6,75.1,52.1,5.12,-0.7
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,64.9,76.4,53.3,4.69,0.22
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,76.6,86.4,66.8,4.38,-1.18
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,79.8,89.5,70.1,5.07,0.38
2000-07-01,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,83.2,94.2,72.1,2.78,-2.73
2000-08-01,2000.0,8.0,0.0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384,84.3,96.4,72.2,2.08,-3.5
2000-09-01,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,,-1.8369701987210294e-16,-1.0,77.7,89.5,65.8,3.69,-1.15
2000-10-01,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.5,-0.8660254037844386,67.5,80.6,54.4,1.32,-2.0
2000-11-01,2000.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.8660254037844384,-0.5000000000000004,55.3,65.1,45.5,11.52,5.23
2000-12-01,2000.0,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,-2.4492935982947064e-16,43.7,53.6,33.8,4.02,-0.72
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,45.6,55.4,35.7,5.58,0.59
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,56.6,67.3,46.0,3.57,-1.43
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,55.3,65.4,45.1,9.32,4.17
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,69.9,80.3,59.6,1.87,-2.5
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,74.3,85.4,63.1,1.94,-3.33
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,78.3,87.5,69.0,12.5,5.75
2001-07-01,2001.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,82.4,91.8,72.9,4.34,-0.63
2001-08-01,2001.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,81.4,90.4,72.5,6.32,1.89
2001-09-01,2001.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,75.4,85.1,65.8,6.34,2.62
2001-10-01,2001.0,10.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5,-0.8660254037844386,64.4,76.9,51.8,5.04,2.18
