,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,23.5,33.5,13.6,3.52,-0.17
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,30.1,39.3,20.8,3.37,0.2
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,40.6,51.3,29.9,4.42,-0.04
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,45.1,54.3,35.9,5.87,2.33
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,56.4,67.5,45.2,3.94,0.1
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,65.1,75.6,54.5,6.2,2.7
2000-07-01,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,67.0,77.0,57.0,5.37,2.81
2000-08-01,2000.0,8.0,0.0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384,67.0,76.7,57.3,3.63,0.59
2000-09-01,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,,-1.8369701987210294e-16,-1.0,60.2,71.2,49.3,3.57,0.26
2000-10-01,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.5,-0.8660254037844386,50.2,61.1,39.3,2.47,-0.64
2000-11-01,2000.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.8660254037844384,-0.5000000000000004,40.0,47.5,32.4,3.53,-0.4
2000-12-01,2000.0,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,-2.4492935982947064e-16,25.0,34.1,16.0,4.3,0.58
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,24.6,34.4,14.8,2.2,-1.63
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,27.8,37.4,18.2,2.78,-0.61
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,32.5,40.2,24.8,8.75,5.72
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,45.9,57.7,34.1,1.75,-2.73
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,57.8,69.9,45.6,3.06,-1.02
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,67.5,78.7,56.3,5.89,2.02
2001-07-01,2001.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,67.2,78.6,55.7,3.29,0.26
2001-08-01,2001.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,71.7,82.4,61.0,3.36,-0.55
2001-09-01,2001.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,61.9,73.4,50.4,3.54,-0.39
2001-10-01,2001.0,10.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5,-0.8660254037844386,51.9,64.3,39.6,1.1,-2.93
2001-11-01,2001.0,11.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.8660254037844384,-0.5000000000000004,44.4,54.9,33.8,1.22,-4.15
2001-12-01,2001.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-2.4492935982947064e-16,35.9,44.5,27.2,3.04,-2.16
2002-01-01,2002.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.8660254037844387,0.4999999999999999,32.4,40.6,24.1,2.63,-1.18
2002-02-01,2002.0,2.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5000000000000001,0.8660254037844386,32.4,42.9,22.0,2.25,-1.36
2002-03-01,2002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,37.1,46.9,27.2,4.24,0.16
2002-04-01,2002.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,48.5,59.7,37.3,3.77,-0.68
2002-05-01,2002.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,54.6,65.8,43.3,5.43,1.92
