,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,22.1,32.1,12.1,1.19,-1.18
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,26.9,37.7,16.2,1.26,-0.52
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,35.5,47.2,23.8,1.0,-2.42
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,43.2,56.7,29.7,1.28,-1.72
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,51.5,64.2,38.8,2.09,-1.14
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,58.0,71.6,44.4,2.09,-1.76
2000-07-01,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,68.4,84.1,52.7,1.64,-1.37
2000-08-01,2000.0,8.0,0.0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384,66.8,83.3,50.3,0.38,-3.45
2000-09-01,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,,-1.8369701987210294e-16,-1.0,54.4,68.3,40.5,1.54,-0.28
2000-10-01,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.5,-0.8660254037844386,43.5,55.7,31.2,1.35,0.07
2000-11-01,2000.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.8660254037844384,-0.5000000000000004,22.1,31.7,12.5,0.98,-1.0
2000-12-01,2000.0,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,-2.4492935982947064e-16,15.8,25.8,5.9,0.87,-1.79
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,24.6,34.2,15.0,0.51,-3.14
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,16.5,27.3,5.8,0.82,-2.66
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,33.8,45.0,22.6,0.83,-4.39
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,41.1,52.9,29.3,1.72,-1.34
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,53.3,68.1,38.5,0.83,-4.33
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,58.4,71.0,45.8,3.83,0.42
2001-07-01,2001.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,67.1,81.5,52.7,2.48,-0.14
2001-08-01,2001.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,68.9,86.0,51.8,0.21,-4.0
2001-09-01,2001.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,58.7,73.8,43.6,0.92,-2.29
2001-10-01,2001.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.8660254037844386,42.7,54.8,30.7,1.29,0.04
2001-11-01,2001.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004,36.3,47.7,24.9,0.71,-2.65
2001-12-01,2001.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,22.4,32.3,12.6,0.79,-2.51
2002-01-01,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,22.7,31.9,13.5,1.26,-2.22
2002-02-01,2002.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,26.4,37.9,14.9,0.98,-2.44
2002-03-01,2002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,19.8,30.5,9.0,1.48,-2.37
2002-04-01,2002.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,37.6,50.1,25.1,1.25,-0.99
2002-05-01,2002.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,47.5,60.4,34.5,2.04,-0.37
2002-06-01,2002.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,59.5,72.6,46.4,3.37,0.34
2002-07-01,2002.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,69.6,85.0,54.2,1.41,-1.11
2002-08-01,2002.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,61.3,75.5,47.0,1.89,0.73
2002-09-01,2002.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,55.7,69.5,41.8,1.37,-0.5
2002-10-01,2002.0,10.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5,-0.8660254037844386,36.6,48.6,24.6,0.68,-0.04
2002-11-01,2002.0,11.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.8660254037844384,-0.5000000000000004,33.8,44.4,23.3,0.66,-1.84
2002-12-01,2002.0,12.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,-2.4492935982947064e-16,26.8,36.5,17.2,0.78,-1.9
2003-01-01,2003.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.8660254037844387,0.4999999999999999,24.7,34.9,14.5,1.37,-1.2
2003-02-01,2003.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,21.4,31.3,11.4,1.21,-0.94
2003-03-01,2003.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,29.8,40.8,18.9,2.1,0.7
2003-04-01,2003.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,44.1,56.1,32.1,2.03,0.4
2003-05-01,2003.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,50.1,62.2,38.0,2.33,0.24
2003-06-01,2003.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,58.4,71.4,45.4,2.18,-0.84
2003-07-01,2003.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,70.3,87.0,53.6,0.5,-2.09
2003-08-01,2003.0,8.0,54.0,3.0,0.0,0.0,1.0,0.0,-0.5000000000000004,-0.8660254037844384,70.0,86.0,54.1,0.71,-3.2
2003-09-01,2003.0,9.0,18.0,54.0,3.0,0.0,19.0,1.0,-1.8369701987210294e-16,-1.0,54.6,68.8,40.4,1.08,-1.34
2003-10-01,2003.0,10.0,0.0,18.0,54.0,3.0,25.0,1.0,0.5,-0.8660254037844386,47.5,61.0,34.0,1.33,-0.79
2003-11-01,2003.0,11.0,0.0,0.0,18.0,54.0,24.0,0.0,0.8660254037844384,-0.5000000000000004,24.0,34.1,13.8,1.15,-0.71
2003-12-01,2003.0,12.0,0.0,0.0,0.0,18.0,6.0,0.0,1.0,-2.4492935982947064e-16,25.1,34.2,15.9,1.4,-0.6
2004-01-01,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,17.0,26.1,8.0,1.3,-1.06
2004-02-01,2004.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,24.1,34.0,14.2,0.72,-1.83
2004-03-01,2004.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,37.5,49.4,25.6,0.64,-4.5
2004-04-01,2004.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,44.3,58.0,30.5,1.15,-3.02
2004-05-01,2004.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,48.1,60.0,36.1,3.0,0.88
2004-06-01,2004.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,56.1,68.9,43.4,2.03,-1.54
2004-07-01,2004.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.8660254037844388,-0.4999999999999998,66.1,80.8,51.4,1.48,-1.55
