,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,30.0,39.2,20.9,3.1,-0.27
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,35.3,44.7,26.0,2.16,-1.26
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,45.6,56.8,34.4,4.61,0.15
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,49.8,59.8,39.8,3.33,-0.51
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,62.0,72.8,51.3,3.82,-0.39
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,70.3,80.5,60.2,4.38,0.67
2000-07-01,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,71.0,80.6,61.3,5.76,1.93
2000-08-01,2000.0,8.0,4.0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384,71.0,79.8,62.2,5.33,1.52
2000-09-01,2000.0,9.0,1.0,4.0,0.0,0.0,1.3333333333333333,,-1.8369701987210294e-16,-1.0,64.4,74.7,54.1,5.23,1.94
2000-10-01,2000.0,10.0,0.0,1.0,4.0,0.0,1.6666666666666667,,0.5,-0.8660254037844386,54.9,66.6,43.0,0.77,-2.19
2000-11-01,2000.0,11.0,0.0,0.0,1.0,4.0,1.6666666666666667,,0.8660254037844384,-0.5000000000000004,43.0,52.4,33.6,3.15,-0.48
2000-12-01,2000.0,12.0,0.0,0.0,0.0,1.0,0.3333333333333333,,1.0,-2.4492935982947064e-16,29.0,37.9,20.2,3.61,0.33
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,29.8,38.8,20.8,3.03,-0.35
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,35.0,44.1,25.8,2.62,-0.6
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,38.2,46.7,29.6,5.95,2.43
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,51.4,62.9,39.9,1.83,-2.39
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,61.6,73.1,50.1,3.17,-0.98
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,71.0,81.7,60.3,5.24,1.57
2001-07-01,2001.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,71.1,82.2,60.1,3.1,-0.65
2001-08-01,2001.0,8.0,7.0,1.0,0.0,0.0,0.3333333333333333,4.0,-0.5000000000000004,-0.8660254037844384,75.5,85.9,65.2,3.53,-1.25
2001-09-01,2001.0,9.0,4.0,7.0,1.0,0.0,2.6666666666666665,1.0,-1.8369701987210294e-16,-1.0,64.8,76.2,53.3,2.93,-0.93
2001-10-01,2001.0,10.0,0.0,4.0,7.0,1.0,4.0,0.0,0.5,-0.8660254037844386,55.4,67.6,43.2,0.93,-3.25
2001-11-01,2001.0,11.0,0.0,0.0,4.0,7.0,3.6666666666666665,0.0,0.8660254037844384,-0.5000000000000004,48.8,60.6,37.1,1.0,-3.83
2001-12-01,2001.0,12.0,0.0,0.0,0.0,4.0,1.3333333333333333,0.0,1.0,-2.4492935982947064e-16,41.1,50.6,31.7,2.22,-2.96
2002-01-01,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,36.9,45.7,28.2,2.21,-2.75
2002-02-01,2002.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,38.4,49.4,27.3,0.75,-3.75
2002-03-01,2002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,42.9,53.3,32.4,4.21,-0.02
2002-04-01,2002.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,53.9,65.6,42.3,3.83,-0.5
2002-05-01,2002.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,59.2,70.9,47.5,4.26,0.38
2002-06-01,2002.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,70.1,81.4,58.9,4.94,1.37
2002-07-01,2002.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844388,-0.4999999999999998,76.1,87.4,64.9,1.66,-2.6
2002-08-01,2002.0,8.0,6.0,0.0,0.0,0.0,0.0,7.0,-0.5000000000000004,-0.8660254037844384,75.8,86.9,64.7,3.73,-1.69
2002-09-01,2002.0,9.0,9.0,6.0,0.0,0.0,2.0,4.0,-1.8369701987210294e-16,-1.0,67.8,79.0,56.7,3.95,-0.52
2002-10-01,2002.0,10.0,1.0,9.0,6.0,0.0,5.0,0.0,0.5,-0.8660254037844386,54.1,63.1,45.2,6.74,3.27
2002-11-01,2002.0,11.0,0.0,1.0,9.0,6.0,5.333333333333333,0.0,0.8660254037844384,-0.5000000000000004,43.2,52.0,34.3,5.1,1.72
2002-12-01,2002.0,12.0,0.0,0.0,1.0,9.0,3.333333333333333,0.0,1.0,-2.4492935982947064e-16,33.3,41.5,25.1,4.53,1.24
2003-01-01,2003.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.8660254037844387,0.4999999999999999,26.4,33.9,18.9,2.54,-0.9
2003-02-01,2003.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,28.2,36.6,19.9,4.69,2.38
2003-03-01,2003.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,41.3,52.4,30.2,4.07,0.02
2003-04-01,2003.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,48.5,58.7,38.4,2.86,-0.87
2003-05-01,2003.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,56.9,66.2,47.6,3.77,0.19
