,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,19.2,28.9,9.5,3.3,0.88
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,25.9,35.4,16.5,2.88,0.6
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,37.9,48.4,27.5,3.03,-0.88
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,42.6,52.2,33.0,5.16,3.37
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,56.4,67.1,45.8,5.8,2.64
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,63.5,73.7,53.4,5.32,2.57
2000-07-01,2000.0,7.0,3.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,64.8,75.0,54.6,4.34,1.78
2000-08-01,2000.0,8.0,9.0,3.0,0.0,0.0,1.0,,-0.5000000000000004,-0.8660254037844384,65.4,75.2,55.5,4.16,1.56
2000-09-01,2000.0,9.0,2.0,9.0,3.0,0.0,4.0,,-1.8369701987210294e-16,-1.0,58.3,68.9,47.7,3.69,0.83
2000-10-01,2000.0,10.0,0.0,2.0,9.0,3.0,4.666666666666667,,0.5,-0.8660254037844386,48.8,59.2,38.3,2.34,-0.53
2000-11-01,2000.0,11.0,0.0,0.0,2.0,9.0,3.6666666666666665,,0.8660254037844384,-0.5000000000000004,36.3,43.7,29.0,2.74,-0.57
2000-12-01,2000.0,12.0,0.0,0.0,0.0,2.0,0.6666666666666666,,1.0,-2.4492935982947064e-16,19.4,27.9,11.0,3.48,0.49
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,22.4,30.3,14.5,1.61,-1.92
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,24.7,33.7,15.8,2.22,-0.61
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,28.0,36.2,19.7,4.92,3.32
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,44.4,56.1,32.7,1.18,-4.19
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,57.0,69.0,45.0,2.94,-1.37
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,64.8,75.9,53.7,4.29,0.7
2001-07-01,2001.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,-0.8660254037844388,-0.4999999999999998,65.9,77.2,54.7,2.4,-1.55
2001-08-01,2001.0,8.0,4.0,1.0,0.0,0.0,0.3333333333333333,9.0,-0.5000000000000004,-0.8660254037844384,70.0,81.8,58.3,3.11,-2.06
2001-09-01,2001.0,9.0,6.0,4.0,1.0,0.0,1.6666666666666667,2.0,-1.8369701987210294e-16,-1.0,59.4,70.7,48.0,4.13,0.12
2001-10-01,2001.0,10.0,1.0,6.0,4.0,1.0,3.6666666666666665,0.0,0.5,-0.8660254037844386,50.1,61.0,39.3,2.36,-1.88
2001-11-01,2001.0,11.0,0.0,1.0,6.0,4.0,3.6666666666666665,0.0,0.8660254037844384,-0.5000000000000004,43.1,52.6,33.6,2.24,-3.59
2001-12-01,2001.0,12.0,0.0,0.0,1.0,6.0,2.333333333333333,0.0,1.0,-2.4492935982947064e-16,33.4,41.0,25.8,2.74,-1.42
2002-01-01,2002.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.8660254037844387,0.4999999999999999,29.1,36.6,21.6,2.19,-0.96
2002-02-01,2002.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,29.1,39.5,18.6,2.3,-0.46
2002-03-01,2002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,33.2,42.9,23.4,3.31,0.4
2002-04-01,2002.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,45.9,56.4,35.4,4.06,0.68
2002-05-01,2002.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,51.3,62.3,40.3,5.34,2.9
2002-06-01,2002.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,64.3,75.4,53.2,5.44,2.61
2002-07-01,2002.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844388,-0.4999999999999998,70.0,81.4,58.6,2.0,-2.83
2002-08-01,2002.0,8.0,28.0,3.0,0.0,0.0,1.0,4.0,-0.5000000000000004,-0.8660254037844384,69.0,81.0,57.0,2.63,-2.77
2002-09-01,2002.0,9.0,33.0,28.0,3.0,0.0,10.333333333333334,6.0,-1.8369701987210294e-16,-1.0,63.1,74.9,51.3,4.6,0.1
2002-10-01,2002.0,10.0,4.0,33.0,28.0,3.0,21.33333333333333,1.0,0.5,-0.8660254037844386,46.2,54.9,37.4,4.31,1.13
2002-11-01,2002.0,11.0,0.0,4.0,33.0,28.0,21.666666666666668,0.0,0.8660254037844384,-0.5000000000000004,36.0,43.0,29.1,3.84,1.13
2002-12-01,2002.0,12.0,0.0,0.0,4.0,33.0,12.333333333333334,0.0,1.0,-2.4492935982947064e-16,24.8,32.6,17.0,3.54,0.58
2003-01-01,2003.0,1.0,0.0,0.0,0.0,4.0,1.3333333333333333,0.0,0.8660254037844387,0.4999999999999999,14.6,23.1,6.0,2.51,-0.43
2003-02-01,2003.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,18.3,27.7,8.9,2.52,-0.06
