year,month,tavg,tmax,tmin,pcp,zndx
2000,1,40.3,52.4,28.1,1.15,-1.05
2000,2,48.0,61.6,34.3,1.53,-1.42
2000,3,52.8,64.0,41.6,4.3,1.39
2000,4,58.5,71.2,45.8,2.57,-0.41
2000,5,70.5,82.6,58.3,4.34,-0.69
2000,6,74.0,83.9,64.2,7.11,3.71
2000,7,81.0,92.9,69.1,2.54,1.1
2000,8,85.3,99.7,70.9,0.12,-2.85
2000,9,75.3,91.1,59.6,1.09,-2.84
2000,10,63.8,74.4,53.1,6.45,3.04
2000,11,43.3,53.5,33.2,3.76,2.65
2000,12,30.9,40.4,21.4,1.97,1.76
2001,1,35.8,45.9,25.8,2.22,2.0
2001,2,41.2,52.0,30.3,4.11,3.76
2001,3,46.7,56.8,36.6,1.52,-0.69
2001,4,63.6,76.0,51.2,1.37,-2.47
2001,5,69.0,80.8,57.2,7.38,1.85
2001,6,76.8,88.8,64.7,2.34,-1.31
2001,7,85.6,98.1,73.1,0.92,-2.67
2001,8,82.8,95.4,70.1,2.32,-1.81
2001,9,70.9,83.0,58.8,3.79,0.38
2001,10,60.3,74.0,46.6,2.21,-0.82
2001,11,54.0,64.9,43.2,1.75,-1.52
2001,12,42.7,54.7,30.6,2.05,-0.58
2002,1,40.0,52.8,27.2,2.16,0.09
2002,2,41.2,53.7,28.6,1.06,-1.35
2002,3,46.8,60.3,33.2,2.7,0.23
2002,4,61.4,72.8,50.1,4.14,0.92
2002,5,66.5,78.1,54.9,3.56,-0.8
2002,6,77.2,88.4,66.0,3.69,-0.06
2002,7,80.6,91.6,69.6,3.48,1.18
2002,8,81.1,92.8,69.4,3.15,0.83
2002,9,74.0,87.0,61.1,2.33,-1.17
2002,10,56.6,65.6,47.5,5.11,2.62
2002,11,47.2,59.6,34.9,0.63,-1.12
2002,12,40.4,50.9,30.0,3.0,1.98
2003,1,37.2,49.1,25.2,0.07,-1.01
2003,2,38.3,49.0,27.5,1.78,0.8
2003,3,49.7,62.5,37.0,2.01,-0.41
2003,4,60.9,74.6,47.1,1.88,-1.51
2003,5,68.7,81.2,56.1,3.71,-1.17
2003,6,73.3,84.4,62.2,5.17,1.76
2003,7,83.3,96.1,70.5,0.91,-0.95
2003,8,82.7,95.5,70.0,4.41,0.93
2003,9,69.0,80.4,57.6,3.08,-0.05
2003,10,62.8,76.1,49.5,1.67,-1.59
2003,11,50.3,60.8,39.8,1.99,-0.86
2003,12,42.2,54.3,30.1,1.19,-1.45
2004,1,39.1,50.6,27.5,2.18,0.12
2004,2,39.1,50.0,28.2,1.69,-0.42
2004,3,55.1,66.5,43.7,3.95,0.93
2004,4,59.9,71.6,48.1,3.65,0.59
2004,5,70.8,82.7,58.9,1.56,-3.26
2004,6,74.9,85.4,64.4,6.52,2.23
2004,7,78.0,88.7,67.2,4.64,2.62
2004,8,76.0,87.2,64.7,2.88,1.87
2004,9,73.6,86.8,60.3,1.23,-1.88
2004,10,63.5,74.7,52.2,5.11,2.03
2004,11,50.3,58.6,42.0,5.96,4.74
2004,12,41.5,54.2,28.7,0.82,-0.14
2005,1,39.7,49.8,29.5,3.5,3.56
2005,2,45.3,55.7,35.0,1.67,0.2
2005,3,50.3,62.5,38.1,1.18,-1.46
2005,4,59.6,72.4,46.8,1.37,-1.89
2005,5,67.5,78.9,56.1,2.6,-2.1
2005,6,77.4,89.4,65.4,4.3,-0.05
2005,7,80.3,92.8,67.7,3.0,0.08
2005,8,80.6,92.2,69.0,5.13,2.77
2005,9,76.4,89.5,63.3,2.07,-1.68
2005,10,62.2,74.8,49.6,2.01,-1.07
2005,11,52.5,67.0,38.1,0.46,-2.7
2005,12,38.3,51.4,25.3,0.27,-2.63
2006,1,46.8,61.4,32.1,0.94,-2.69
2006,2,41.0,54.6,27.4,0.3,-3.62
2006,3,53.3,65.6,41.0,3.16,-1.03
2006,4,65.9,80.0,51.7,3.35,-1.57
2006,5,70.6,83.1,58.1,3.16,-3.12
2006,6,77.9,91.2,64.6,2.65,-2.94
2006,7,83.9,97.0,70.7,1.79,-3.38
2006,8,84.1,96.2,71.9,3.2,-0.82
