,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin,tavg,tmax,tmin,pcp,zndx
2000-01-01,2000.0,1.0,0.0,,,,,,0.8660254037844387,0.4999999999999999,37.8,47.3,28.3,3.58,-1.19
2000-02-01,2000.0,2.0,0.0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386,45.4,57.5,33.4,3.72,-1.27
2000-03-01,2000.0,3.0,0.0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0,52.5,65.3,39.6,4.47,-1.35
2000-04-01,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388,55.3,67.3,43.3,6.44,2.62
2000-05-01,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.4999999999999999,68.8,80.2,57.3,4.59,-0.19
2000-06-01,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16,74.1,85.0,63.2,4.19,0.33
2000-07-01,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998,76.8,88.3,65.4,2.95,-1.45
2000-08-01,2000.0,8.0,0.0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384,77.1,89.0,65.2,2.6,-1.61
2000-09-01,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,,-1.8369701987210294e-16,-1.0,69.6,81.2,58.0,3.38,-0.34
2000-10-01,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.5,-0.8660254037844386,61.1,75.6,46.6,0.35,-3.51
2000-11-01,2000.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.8660254037844384,-0.5000000000000004,46.9,57.2,36.6,5.1,0.1
2000-12-01,2000.0,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,-2.4492935982947064e-16,30.6,39.8,21.4,3.65,-0.91
2001-01-01,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,34.3,44.2,24.4,3.71,-0.89
2001-02-01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,44.7,55.2,34.1,6.93,1.86
2001-03-01,2001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,44.6,55.1,34.1,3.33,-1.7
2001-04-01,2001.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,61.3,73.4,49.2,2.93,-2.18
2001-05-01,2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,66.9,78.9,55.0,4.42,-0.07
2001-06-01,2001.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,71.9,83.2,60.6,4.36,0.86
2001-07-01,2001.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,77.1,87.3,66.9,4.84,0.79
2001-08-01,2001.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384,76.7,86.5,66.8,4.21,1.06
2001-09-01,2001.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210294e-16,-1.0,67.6,78.8,56.3,3.57,0.69
2001-10-01,2001.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.8660254037844386,56.5,70.3,42.6,4.54,2.22
2001-11-01,2001.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004,53.0,67.8,38.1,5.68,1.61
2001-12-01,2001.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,44.4,54.7,34.2,5.48,0.44
2002-01-01,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,40.3,51.2,29.3,6.65,1.31
2002-02-01,2002.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,40.5,51.8,29.1,2.19,-2.4
2002-03-01,2002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,48.3,60.2,36.5,9.14,3.59
2002-04-01,2002.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,60.9,73.2,48.5,2.43,-2.67
2002-05-01,2002.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,64.2,75.8,52.5,5.55,1.28
2002-06-01,2002.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,74.9,86.5,63.3,2.45,-1.73
2002-07-01,2002.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998,78.8,89.2,68.3,4.14,-0.96
2002-08-01,2002.0,8.0,30.0,3.0,0.0,0.0,1.0,0.0,-0.5000000000000004,-0.8660254037844384,77.8,89.4,66.1,3.33,-1.01
2002-09-01,2002.0,9.0,13.0,30.0,3.0,0.0,11.0,0.0,-1.8369701987210294e-16,-1.0,73.3,84.5,62.0,7.3,3.41
2002-10-01,2002.0,10.0,1.0,13.0,30.0,3.0,15.333333333333334,0.0,0.5,-0.8660254037844386,60.9,69.2,52.6,5.23,2.58
2002-11-01,2002.0,11.0,0.0,1.0,13.0,30.0,14.666666666666666,0.0,0.8660254037844384,-0.5000000000000004,45.3,55.1,35.6,4.23,0.86
2002-12-01,2002.0,12.0,0.0,0.0,1.0,13.0,4.666666666666667,0.0,1.0,-2.4492935982947064e-16,39.5,48.7,30.3,6.58,1.67
2003-01-01,2003.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.8660254037844387,0.4999999999999999,32.2,42.0,22.4,2.1,-2.19
2003-02-01,2003.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,38.5,46.6,30.4,9.66,4.82
2003-03-01,2003.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,51.3,62.8,39.7,2.54,-3.09
2003-04-01,2003.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,59.4,71.5,47.3,5.14,0.58
2003-05-01,2003.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,66.5,76.3,56.7,9.71,5.27
2003-06-01,2003.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,70.6,81.2,59.9,5.15,1.93
2003-07-01,2003.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,-0.8660254037844388,-0.4999999999999998,76.2,86.1,66.2,5.79,2.1
2003-08-01,2003.0,8.0,7.0,2.0,0.0,0.0,0.6666666666666666,30.0,-0.5000000000000004,-0.8660254037844384,77.1,87.2,67.0,4.41,1.5
2003-09-01,2003.0,9.0,11.0,7.0,2.0,0.0,3.0,13.0,-1.8369701987210294e-16,-1.0,68.1,79.7,56.5,5.64,3.19
2003-10-01,2003.0,10.0,1.0,11.0,7.0,2.0,6.666666666666667,1.0,0.5,-0.8660254037844386,58.5,71.0,46.0,2.03,-0.16
2003-11-01,2003.0,11.0,0.0,1.0,11.0,7.0,6.333333333333333,0.0,0.8660254037844384,-0.5000000000000004,52.8,63.8,41.7,5.77,1.7
2003-12-01,2003.0,12.0,0.0,0.0,1.0,11.0,4.0,0.0,1.0,-2.4492935982947064e-16,38.9,49.0,28.8,3.82,-0.71
2004-01-01,2004.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.8660254037844387,0.4999999999999999,36.9,47.5,26.4,3.33,-1.29
2004-02-01,2004.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,39.4,49.2,29.7,5.07,0.39
2004-03-01,2004.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,52.7,64.1,41.2,4.8,-1.06
2004-04-01,2004.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,57.2,69.5,44.9,4.92,0.66
2004-05-01,2004.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,70.1,80.8,59.4,5.28,0.3
2004-06-01,2004.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,73.7,83.1,64.3,5.83,2.23
2004-07-01,2004.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.8660254037844388,-0.4999999999999998,75.6,85.6,65.6,4.85,1.09
2004-08-01,2004.0,8.0,5.0,2.0,0.0,0.0,0.6666666666666666,7.0,-0.5000000000000004,-0.8660254037844384,72.2,83.1,61.4,4.14,1.72
2004-09-01,2004.0,9.0,6.0,5.0,2.0,0.0,2.333333333333333,11.0,-1.8369701987210294e-16,-1.0,69.6,80.7,58.5,4.35,1.59
2004-10-01,2004.0,10.0,0.0,6.0,5.0,2.0,4.333333333333333,1.0,0.5,-0.8660254037844386,62.8,73.1,52.5,5.29,2.71
2004-11-01,2004.0,11.0,0.0,0.0,6.0,5.0,3.6666666666666665,0.0,0.8660254037844384,-0.5000000000000004,53.0,62.4,43.6,6.77,2.65
2004-12-01,2004.0,12.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,-2.4492935982947064e-16,38.7,49.2,28.2,6.61,1.73
2005-01-01,2005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.4999999999999999,42.8,51.7,34.0,4.29,-0.77
2005-02-01,2005.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386,44.4,53.8,34.8,4.17,-0.75
2005-03-01,2005.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0,47.0,58.4,35.6,3.35,-1.89
2005-04-01,2005.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388,57.9,70.1,45.6,6.05,1.81
2005-05-01,2005.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.4999999999999999,63.3,76.3,50.2,1.62,-2.33
2005-06-01,2005.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,74.0,84.5,63.4,4.22,0.05
2005-07-01,2005.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.8660254037844388,-0.4999999999999998,78.0,87.5,68.6,5.35,0.7
2005-08-01,2005.0,8.0,9.0,0.0,0.0,0.0,0.0,5.0,-0.5000000000000004,-0.8660254037844384,78.9,89.6,68.2,5.74,2.06
2005-09-01,2005.0,9.0,4.0,9.0,0.0,0.0,3.0,6.0,-1.8369701987210294e-16,-1.0,72.6,85.2,60.0,2.63,-1.07
