year,month,tavg,tmax,tmin,pcp,zndx
2000,1,34.0,44.7,23.3,3.25,0.27
2000,2,41.5,53.2,29.8,1.81,-2.07
2000,3,49.6,62.6,36.6,3.25,-1.25
2000,4,53.9,65.0,42.8,4.66,1.83
2000,5,65.7,78.5,53.0,3.29,-1.2
2000,6,72.6,83.1,62.1,5.51,2.13
2000,7,72.3,82.0,62.6,5.14,1.5
2000,8,72.4,82.2,62.6,4.57,0.98
2000,9,65.7,75.6,55.7,4.84,2.1
2000,10,57.4,71.7,43.2,0.09,-2.88
2000,11,43.6,55.0,32.2,1.88,-1.28
2000,12,30.1,40.0,20.3,2.04,-1.05
2001,1,34.3,45.0,23.7,2.27,-1.02
2001,2,41.2,52.8,29.5,2.01,-1.75
2001,3,42.0,53.0,31.0,4.45,1.28
2001,4,56.6,69.7,43.5,1.64,-2.66
2001,5,63.0,75.2,50.8,4.88,0.88
2001,6,71.5,82.3,60.6,4.62,1.21
2001,7,71.9,82.7,61.0,5.21,1.66
2001,8,75.0,85.5,64.6,3.84,-0.16
2001,9,64.8,76.4,53.3,2.2,-0.86
2001,10,55.2,69.6,40.8,0.89,-2.49
2001,11,51.2,65.7,36.6,0.59,-4.06
2001,12,43.4,54.1,32.6,2.28,-2.56
2002,1,39.2,50.2,28.3,2.99,-1.44
2002,2,40.5,53.2,27.8,0.9,-3.21
2002,3,46.3,58.5,34.0,4.39,0.68
2002,4,57.7,70.7,44.8,3.2,-0.75
2002,5,62.0,74.8,49.3,3.52,-0.28
2002,6,72.9,85.3,60.5,2.54,-1.81
2002,7,76.6,87.6,65.7,3.97,-1.38
2002,8,75.8,87.5,64.2,2.98,-2.27
2002,9,69.4,80.2,58.5,3.49,-0.97
2002,10,57.5,65.9,49.1,5.74,1.92
2002,11,44.8,54.5,35.2,4.8,2.39
2002,12,36.0,45.2,26.8,4.1,1.61
2003,1,31.1,40.0,22.3,2.19,-1.04
2003,2,34.8,42.8,26.7,6.1,4.4
2003,3,48.0,60.2,35.6,4.33,0.37
2003,4,54.7,66.3,43.0,4.79,1.88
2003,5,61.7,70.9,52.4,7.22,4.27
2003,6,68.9,78.9,59.0,6.49,4.15
2003,7,74.5,84.2,64.8,6.15,2.46
2003,8,75.5,84.7,66.2,5.29,1.44
2003,9,66.7,76.6,56.7,8.15,5.65
2003,10,55.2,66.9,43.4,2.66,0.21
2003,11,51.5,63.3,39.7,4.35,1.65
2003,12,36.8,46.7,26.9,4.17,1.64
2004,1,32.1,41.9,22.3,1.95,-1.36
2004,2,36.3,46.6,25.9,2.38,-0.84
2004,3,47.8,59.7,35.8,2.17,-2.42
2004,4,55.4,66.9,43.8,4.13,0.88
2004,5,68.9,80.3,57.6,4.4,-0.42
2004,6,70.8,80.4,61.3,5.36,2.3
2004,7,74.6,84.3,65.0,5.81,2.01
2004,8,71.8,81.8,61.9,6.03,2.77
2004,9,67.9,77.4,58.2,7.25,4.6
2004,10,57.3,66.9,47.8,2.35,-0.37
2004,11,49.5,59.9,39.2,4.21,1.69
2004,12,38.2,49.0,27.5,2.9,-0.05
2005,1,37.7,47.2,28.1,3.09,-0.17
2005,2,39.3,49.8,28.9,1.82,-1.84
2005,3,41.8,52.1,31.5,3.8,0.45
2005,4,55.0,67.6,42.4,3.1,-0.44
2005,5,59.8,72.0,47.6,3.15,-0.37
2005,6,71.8,82.4,61.2,2.47,-1.72
2005,7,77.1,86.7,67.4,5.65,0.7
2005,8,76.3,86.2,66.3,3.37,-1.55
2005,9,70.4,83.0,57.8,0.71,-3.79
2005,10,58.2,68.4,48.0,5.54,1.51
2005,11,48.7,61.6,35.9,3.66,0.4
2005,12,35.1,44.6,25.5,3.47,0.87
2006,1,42.4,52.8,32.0,3.1,-0.56
2006,2,37.4,48.3,26.6,1.65,-1.92
2006,3,46.1,58.3,33.8,0.7,-4.11
2006,4,58.0,71.6,44.4,3.49,-0.72
2006,5,61.1,73.9,48.3,2.55,-1.31
2006,6,70.7,81.7,59.6,7.06,4.53
2006,7,75.9,86.5,65.3,4.11,-0.39
2006,8,76.5,87.6,65.4,3.22,-1.4
2006,9,64.8,74.3,55.2,6.91,3.63
2006,10,54.2,65.4,43.0,6.23,4.28
2006,11,48.7,59.8,37.6,5.28,3.05
2006,12,43.1,55.1,31.0,1.9,-1.71
2007,1,39.9,49.7,30.0,3.19,-0.22
2007,2,31.9,41.9,21.9,2.15,-0.93
2007,3,49.2,62.4,35.9,3.29,-1.15
2007,4,53.4,65.3,41.4,3.72,0.65
2007,5,64.4,77.0,51.7,2.16,-2.35
2007,6,71.9,83.5,60.4,3.77,-0.32
2007,7,73.8,85.3,62.3,3.09,-1.99
2007,8,77.5,89.3,65.8,3.17,-2.42
2007,9,69.4,82.3,56.5,1.54,-3.1
2007,10,62.5,74.8,50.3,4.71,-0.03
2007,11,46.2,57.8,34.6,1.05,-3.11
2007,12,41.5,50.6,32.3,3.35,-0.94
2008,1,36.0,46.3,25.7,1.42,-2.37
2008,2,40.3,51.0,29.6,2.71,-0.72
2008,3,46.8,59.2,34.4,3.23,-0.9
2008,4,55.9,67.0,44.8,5.61,2.79
2008,5,61.3,73.4,49.1,4.23,0.7
2008,6,74.0,86.5,61.4,3.01,-1.37
2008,7,74.6,86.1,63.1,4.05,-0.81
2008,8,72.3,83.8,60.9,3.66,-0.83
2008,9,68.2,78.3,58.1,4.34,0.37
2008,10,54.8,67.0,42.5,1.49,-1.98
2008,11,44.1,54.3,33.8,2.89,-0.81
2008,12,40.2,50.0,30.3,4.0,0.67
2009,1,32.6,42.2,23.0,2.92,-0.1
2009,2,38.9,50.8,26.9,0.94,-3.02
2009,3,45.1,55.9,34.4,4.01,0.33
2009,4,55.4,68.0,42.9,3.12,-0.48
2009,5,64.1,74.7,53.6,6.13,2.53
2009,6,71.6,82.1,61.2,5.2,1.97
2009,7,71.9,82.5,61.4,4.07,0.25
2009,8,75.2,85.1,65.2,4.19,0.07
2009,9,66.6,76.2,57.0,3.72,0.44
2009,10,55.3,65.9,44.6,3.12,0.15
2009,11,49.5,59.6,39.3,6.68,4.37
2009,12,35.7,44.8,26.7,7.15,5.46
2010,1,32.7,41.6,23.8,4.18,1.54
2010,2,31.9,40.1,23.7,2.96,0.18
2010,3,47.4,58.6,36.2,4.61,0.82
2010,4,58.6,73.2,44.0,1.73,-2.88
2010,5,66.2,77.6,54.7,4.25,-0.52
2010,6,76.0,87.3,64.8,2.53,-2.45
2010,7,77.9,89.9,65.9,2.82,-3.54
2010,8,76.0,86.2,65.9,4.56,-0.99
2010,9,70.0,83.2,56.8,5.36,0.79
2010,10,58.0,70.4,45.6,3.79,0.04
2010,11,46.3,58.6,34.0,2.0,-1.51
2010,12,30.1,38.1,22.1,2.95,-0.05
2011,1,32.1,41.0,23.3,1.58,-1.84
2011,2,40.9,52.8,29.1,1.68,-2.17
2011,3,46.0,57.2,34.8,5.28,1.88
2011,4,58.2,70.1,46.3,4.75,1.24
2011,5,64.8,76.0,53.7,4.33,0.22
2011,6,73.4,85.0,61.8,3.28,-0.91
2011,7,77.8,89.0,66.7,4.16,-1.2
2011,8,74.9,85.7,64.0,5.14,0.4
2011,9,68.2,77.0,59.3,6.83,3.13
2011,10,55.5,66.5,44.5,3.78,1.32
2011,11,49.4,61.7,37.1,3.86,1.28
2011,12,42.6,53.2,31.9,3.63,0.51
2012,1,38.9,49.6,28.3,2.26,-1.35
2012,2,41.8,53.1,30.6,2.54,-1.1
2012,3,55.2,67.9,42.4,3.87,-1.28
2012,4,55.6,68.0,43.1,3.04,-0.62
2012,5,67.3,78.2,56.5,4.14,-0.45
2012,6,70.2,82.5,57.9,2.85,-0.96
2012,7,78.7,89.4,67.9,4.63,-0.8
2012,8,74.0,84.1,63.9,4.74,0.16
2012,9,66.9,77.9,55.9,4.14,0.46
2012,10,56.4,67.2,45.6,4.09,0.84
2012,11,42.7,54.0,31.4,0.67,-2.16
2012,12,42.9,52.5,33.2,3.08,-0.43
2013,1,38.5,48.0,29.1,5.95,3.5
2013,2,36.8,46.4,27.2,2.27,-1.02
2013,3,40.1,50.0,30.2,3.7,0.5
2013,4,56.0,68.4,43.6,3.56,0.01
2013,5,62.5,73.7,51.3,4.37,0.67
2013,6,72.2,82.0,62.3,7.02,4.3
2013,7,75.6,84.6,66.7,6.46,2.67
2013,8,71.8,81.0,62.6,4.47,1.02
2013,9,66.3,77.6,55.0,1.64,-1.26
2013,10,57.6,68.0,47.2,3.09,-0.18
2013,11,43.7,54.9,32.6,3.03,0.41
2013,12,40.3,50.3,30.3,5.81,3.45
2014,1,29.4,40.6,18.3,2.69,-0.39
2014,2,37.0,47.3,26.6,3.36,0.47
2014,3,40.7,52.5,28.8,3.29,-0.1
2014,4,55.0,68.0,42.0,4.73,1.75
2014,5,65.2,77.5,52.9,4.35,0.18
2014,6,72.5,83.4,61.5,3.49,-0.47
2014,7,73.4,84.0,62.9,3.82,-0.66
2014,8,71.3,80.8,61.7,4.69,0.62
2014,9,68.1,77.3,58.9,2.97,-0.75
2014,10,57.8,68.8,46.8,4.02,0.45
2014,11,42.1,53.0,31.2,3.13,0.54
2014,12,40.8,49.4,32.1,3.21,0.14
2015,1,33.8,43.1,24.4,2.59,-0.58
2015,2,28.9,39.8,18.0,2.66,-0.23
2015,3,44.2,55.6,32.7,3.75,0.11
2015,4,55.9,68.1,43.8,4.51,1.31
2015,5,67.1,79.2,54.9,2.15,-2.83
2015,6,73.7,83.7,63.7,6.95,3.46
2015,7,75.3,84.7,65.8,5.05,0.8
2015,8,73.2,84.0,62.4,2.65,-1.42
2015,9,69.3,79.4,59.1,5.73,1.96
2015,10,56.3,67.1,45.5,4.58,1.87
2015,11,51.1,61.8,40.4,3.92,1.18
2015,12,49.6,59.0,40.3,5.22,1.82
2016,1,33.1,43.0,23.2,2.93,-0.11
2016,2,38.4,47.6,29.1,4.71,2.21
2016,3,51.8,63.7,39.8,2.05,-3.14
2016,4,55.1,68.2,42.1,2.34,-1.48
2016,5,61.9,71.5,52.2,6.92,3.87
2016,6,71.8,83.0,60.7,5.04,1.72
2016,7,77.3,87.5,67.1,4.82,0.27
2016,8,77.0,86.7,67.4,3.23,-1.33
2016,9,71.8,81.8,61.9,5.27,1.08
2016,10,59.8,71.0,48.5,3.52,-0.04
2016,11,48.3,61.3,35.3,1.37,-2.05
2016,12,39.1,48.8,29.4,3.21,-0.03
2017,1,40.1,48.3,31.8,3.96,0.77
2017,2,46.0,58.7,33.4,0.86,-3.83
2017,3,45.9,57.6,34.2,3.17,-0.86
2017,4,60.6,72.1,49.0,4.85,0.96
2017,5,63.4,73.8,53.0,7.52,4.35
2017,6,71.2,82.3,60.0,3.41,-0.36
2017,7,76.8,87.5,66.1,4.13,-0.85
