year,month,tavg,tmax,tmin,pcp,zndx
2000,1,23.5,33.5,13.6,3.52,-0.17
2000,2,30.1,39.3,20.8,3.37,0.2
2000,3,40.6,51.3,29.9,4.42,-0.04
2000,4,45.1,54.3,35.9,5.87,2.33
2000,5,56.4,67.5,45.2,3.94,0.1
2000,6,65.1,75.6,54.5,6.2,2.7
2000,7,67.0,77.0,57.0,5.37,2.81
2000,8,67.0,76.7,57.3,3.63,0.59
2000,9,60.2,71.2,49.3,3.57,0.26
2000,10,50.2,61.1,39.3,2.47,-0.64
2000,11,40.0,47.5,32.4,3.53,-0.4
2000,12,25.0,34.1,16.0,4.3,0.58
2001,1,24.6,34.4,14.8,2.2,-1.63
2001,2,27.8,37.4,18.2,2.78,-0.61
2001,3,32.5,40.2,24.8,8.75,5.72
2001,4,45.9,57.7,34.1,1.75,-2.73
2001,5,57.8,69.9,45.6,3.06,-1.02
2001,6,67.5,78.7,56.3,5.89,2.02
2001,7,67.2,78.6,55.7,3.29,0.26
2001,8,71.7,82.4,61.0,3.36,-0.55
2001,9,61.9,73.4,50.4,3.54,-0.39
2001,10,51.9,64.3,39.6,1.1,-2.93
2001,11,44.4,54.9,33.8,1.22,-4.15
2001,12,35.9,44.5,27.2,3.04,-2.16
2002,1,32.4,40.6,24.1,2.63,-1.18
2002,2,32.4,42.9,22.0,2.25,-1.36
2002,3,37.1,46.9,27.2,4.24,0.16
2002,4,48.5,59.7,37.3,3.77,-0.68
2002,5,54.6,65.8,43.3,5.43,1.92
2002,6,64.0,75.2,52.8,4.59,1.08
2002,7,71.4,82.6,60.0,1.98,-1.83
2002,8,71.4,83.0,59.9,2.85,-1.7
2002,9,64.4,75.4,53.5,4.19,-0.35
2002,10,48.4,58.1,38.7,4.16,0.54
2002,11,39.0,46.8,31.0,5.88,1.82
2002,12,28.5,37.1,19.9,5.26,1.61
2003,1,19.0,27.8,10.2,2.83,-0.93
2003,2,22.8,31.8,13.7,4.05,1.12
2003,3,34.5,46.3,22.7,4.42,0.63
2003,4,42.9,53.0,32.9,4.09,0.49
2003,5,54.2,64.3,44.1,4.17,0.63
2003,6,64.0,73.4,54.6,5.52,2.09
2003,7,71.0,81.4,60.6,2.67,-0.94
2003,8,71.5,80.8,62.2,5.75,1.74
2003,9,62.6,72.4,52.7,5.34,1.52
2003,10,48.6,59.0,38.3,5.7,3.15
2003,11,42.8,51.7,34.0,3.03,-1.16
2003,12,31.4,40.1,22.8,5.72,2.1
2004,1,17.3,25.1,9.4,1.52,-2.38
2004,2,27.4,37.4,17.5,1.77,-1.99
2004,3,36.6,45.4,27.7,2.47,-1.79
2004,4,46.9,57.4,36.3,7.32,3.81
2004,5,58.5,69.8,47.2,3.8,-0.33
2004,6,63.7,74.8,52.7,2.21,-1.47
2004,7,69.0,78.3,59.8,3.94,0.41
2004,8,69.0,78.5,59.4,5.6,1.79
2004,9,62.4,72.9,51.8,7.42,3.58
2004,10,50.0,59.3,40.8,2.19,-0.84
2004,11,40.6,50.4,30.7,3.78,-0.19
2004,12,30.0,38.9,21.2,4.48,0.77
2005,1,23.0,31.9,14.1,5.02,1.48
2005,2,28.2,38.4,17.9,2.74,-0.67
2005,3,31.2,41.1,21.3,4.97,1.48
2005,4,48.0,60.4,35.6,4.86,0.7
2005,5,51.5,61.0,41.9,4.62,1.46
2005,6,68.2,79.1,57.2,2.46,-1.75
2005,7,71.4,81.6,61.3,3.38,-0.73
2005,8,72.1,82.5,61.6,3.21,-1.57
2005,9,64.8,76.5,53.1,2.74,-1.86
2005,10,52.1,59.9,44.2,14.03,10.63
2005,11,42.2,52.8,31.7,5.08,1.02
2005,12,28.0,36.5,19.6,3.9,0.15
