year,month,tavg,tmax,tmin,pcp,zndx
2000,1,19.3,28.0,10.6,1.68,-0.28
2000,2,26.5,36.2,16.9,1.42,-0.17
2000,3,38.8,49.4,28.2,1.62,-2.17
2000,4,42.4,53.3,31.4,2.41,-0.41
2000,5,56.6,68.1,45.0,4.64,2.18
2000,6,63.5,74.1,52.8,4.07,1.3
2000,7,66.1,77.4,54.7,3.45,1.83
2000,8,66.1,77.1,55.0,2.85,-0.14
2000,9,58.0,69.1,47.0,3.95,1.2
2000,10,50.8,61.7,39.9,1.63,-1.46
2000,11,36.2,42.5,29.8,2.77,0.07
2000,12,15.9,23.7,8.2,2.53,1.42
2001,1,23.4,30.4,16.4,1.23,-1.03
2001,2,22.1,30.1,14.1,2.63,2.48
2001,3,29.4,38.6,20.3,0.71,-2.63
2001,4,46.1,57.4,34.8,3.12,0.1
2001,5,57.2,68.7,45.7,4.71,2.17
2001,6,64.4,75.8,53.1,3.24,-0.35
2001,7,68.4,80.7,56.0,2.02,-1.49
2001,8,69.6,81.0,58.1,3.38,-0.79
2001,9,57.7,68.0,47.3,4.25,1.12
2001,10,47.8,57.2,38.4,5.47,4.42
2001,11,43.6,52.0,35.1,2.44,0.13
2001,12,31.9,38.2,25.6,1.97,0.36
2002,1,27.5,34.4,20.6,1.12,-1.26
2002,2,27.4,36.2,18.6,2.13,1.38
2002,3,27.4,37.0,17.8,2.59,1.25
2002,4,43.4,53.5,33.2,3.57,1.56
2002,5,49.7,60.9,38.5,3.83,2.25
2002,6,65.6,76.7,54.5,3.01,-1.0
2002,7,72.4,84.5,60.2,3.22,-0.08
2002,8,68.0,79.2,56.7,3.51,-0.11
2002,9,63.3,75.4,51.2,2.13,-3.3
2002,10,44.5,53.4,35.6,3.07,0.28
2002,11,33.7,41.0,26.4,1.58,-2.31
2002,12,26.0,33.0,18.9,1.14,-2.51
2003,1,16.7,24.0,9.5,0.86,-1.96
2003,2,16.3,25.7,6.8,1.06,-0.96
2003,3,29.3,40.8,17.8,1.97,-0.03
2003,4,41.4,53.2,29.6,2.79,0.53
2003,5,52.8,64.4,41.3,3.99,1.87
2003,6,62.1,74.6,49.6,2.21,-1.73
2003,7,67.8,79.7,55.8,3.34,0.74
2003,8,68.8,80.3,57.2,2.69,-1.59
2003,9,59.5,70.7,48.2,3.33,-0.65
2003,10,46.6,56.7,36.5,2.31,-0.9
2003,11,37.7,45.1,30.3,4.6,2.13
2003,12,28.6,35.4,21.8,1.93,0.29
2004,1,14.3,22.0,6.7,2.03,0.64
2004,2,22.6,32.4,12.9,1.2,-0.65
2004,3,34.5,42.9,26.0,3.17,1.96
2004,4,44.2,55.9,32.5,2.06,-1.47
