,fips,state,year,month,count,temp
2000-01,4,AZ,2000,1,0,45.8
2000-02,4,AZ,2000,2,0,48.4
2000-03,4,AZ,2000,3,0,50.5
2000-04,4,AZ,2000,4,0,61.9
2000-05,4,AZ,2000,5,0,71.2
2000-06,4,AZ,2000,6,0,77.8
2000-07,4,AZ,2000,7,0,81.5
2000-08,4,AZ,2000,8,0,79.4
2000-09,4,AZ,2000,9,0,74.9
2000-10,4,AZ,2000,10,0,60.2
2000-11,4,AZ,2000,11,0,43.8
2000-12,4,AZ,2000,12,0,44.7
2001-01,4,AZ,2001,1,0,40.3
2001-02,4,AZ,2001,2,0,44.2
2001-03,4,AZ,2001,3,0,51.8
2001-04,4,AZ,2001,4,0,57.5
2001-05,4,AZ,2001,5,0,70.8
2001-06,4,AZ,2001,6,0,77.5
2001-07,4,AZ,2001,7,0,79.8
2001-08,4,AZ,2001,8,0,79.1
2001-09,4,AZ,2001,9,0,75.6
2001-10,4,AZ,2001,10,0,64.7
2001-11,4,AZ,2001,11,0,52.9
2001-12,4,AZ,2001,12,0,40.2
2002-01,4,AZ,2002,1,0,42.3
2002-02,4,AZ,2002,2,0,46.2
2002-03,4,AZ,2002,3,0,49.8
2002-04,4,AZ,2002,4,0,62.0
2002-05,4,AZ,2002,5,0,67.0
2002-06,4,AZ,2002,6,0,78.8
2002-07,4,AZ,2002,7,0,82.3
2002-08,4,AZ,2002,8,0,79.8
2002-09,4,AZ,2002,9,0,73.6
2002-10,4,AZ,2002,10,0,60.0
2002-11,4,AZ,2002,11,0,51.3
2002-12,4,AZ,2002,12,0,41.0
2003-01,4,AZ,2003,1,0,48.8
2003-02,4,AZ,2003,2,0,45.5
2003-03,4,AZ,2003,3,0,50.6
2003-04,4,AZ,2003,4,0,55.6
2003-05,4,AZ,2003,5,0,68.3
2003-06,4,AZ,2003,6,0,76.3
2003-07,4,AZ,2003,7,0,83.8
2003-08,4,AZ,2003,8,3,80.0
2003-09,4,AZ,2003,9,2,74.8
2003-10,4,AZ,2003,10,2,67.3
2003-11,4,AZ,2003,11,0,48.8
2003-12,4,AZ,2003,12,0,43.0
2004-01,4,AZ,2004,1,0,42.8
2004-02,4,AZ,2004,2,0,42.1
2004-03,4,AZ,2004,3,0,58.1
2004-04,4,AZ,2004,4,1,57.9
2004-05,4,AZ,2004,5,22,68.4
2004-06,4,AZ,2004,6,83,75.9
2004-07,4,AZ,2004,7,66,80.1
2004-08,4,AZ,2004,8,25,77.7
2004-09,4,AZ,2004,9,16,71.8
2004-10,4,AZ,2004,10,2,60.0
2004-11,4,AZ,2004,11,0,47.3
2004-12,4,AZ,2004,12,0,42.8
2005-01,4,AZ,2005,1,0,45.1
2005-02,4,AZ,2005,2,0,46.2
2005-03,4,AZ,2005,3,1,49.9
2005-04,4,AZ,2005,4,0,57.2
2005-05,4,AZ,2005,5,0,67.9
2005-06,4,AZ,2005,6,2,74.4
2005-07,4,AZ,2005,7,4,82.7
2005-08,4,AZ,2005,8,10,77.5
2005-09,4,AZ,2005,9,22,73.4
2005-10,4,AZ,2005,10,12,62.8
2005-11,4,AZ,2005,11,1,52.6
2005-12,4,AZ,2005,12,0,43.9
2006-01,4,AZ,2006,1,0,44.1
2006-02,4,AZ,2006,2,0,47.8
2006-03,4,AZ,2006,3,0,48.3
2006-04,4,AZ,2006,4,0,59.0
2006-05,4,AZ,2006,5,0,70.0
2006-06,4,AZ,2006,6,0,79.5
2006-07,4,AZ,2006,7,2,82.3
2006-08,4,AZ,2006,8,9,77.9
2006-09,4,AZ,2006,9,26,69.8
2006-10,4,AZ,2006,10,27,60.2
2006-11,4,AZ,2006,11,3,52.8
2006-12,4,AZ,2006,12,1,41.8
2007-01,4,AZ,2007,1,0,39.0
2007-02,4,AZ,2007,2,0,46.7
2007-03,4,AZ,2007,3,0,54.5
2007-04,4,AZ,2007,4,0,59.3
2007-05,4,AZ,2007,5,0,68.4
2007-06,4,AZ,2007,6,7,77.3
2007-07,4,AZ,2007,7,6,82.0
2007-08,4,AZ,2007,8,7,80.5
2007-09,4,AZ,2007,9,21,73.8
2007-10,4,AZ,2007,10,8,62.4
2007-11,4,AZ,2007,11,0,55.3
2007-12,4,AZ,2007,12,1,39.9
2008-01,4,AZ,2008,1,0,39.8
2008-02,4,AZ,2008,2,1,45.0
2008-03,4,AZ,2008,3,0,51.8
2008-04,4,AZ,2008,4,0,58.0
2008-05,4,AZ,2008,5,0,63.6
2008-06,4,AZ,2008,6,0,77.3
2008-07,4,AZ,2008,7,6,80.4
2008-08,4,AZ,2008,8,24,79.3
2008-09,4,AZ,2008,9,17,73.6
2008-10,4,AZ,2008,10,13,62.9
2008-11,4,AZ,2008,11,1,53.3
2008-12,4,AZ,2008,12,0,42.4
2009-01,4,AZ,2009,1,0,45.2
2009-02,4,AZ,2009,2,0,46.6
2009-03,4,AZ,2009,3,0,52.5
2009-04,4,AZ,2009,4,0,57.0
2009-05,4,AZ,2009,5,0,70.8
2009-06,4,AZ,2009,6,1,73.0
2009-07,4,AZ,2009,7,9,82.8
2009-08,4,AZ,2009,8,1,79.7
2009-09,4,AZ,2009,9,1,74.1
2009-10,4,AZ,2009,10,0,59.4
2009-11,4,AZ,2009,11,0,52.9
2009-12,4,AZ,2009,12,0,39.0
2010-01,4,AZ,2010,1,0,42.2
2010-02,4,AZ,2010,2,0,44.3
2010-03,4,AZ,2010,3,0,49.2
2010-04,4,AZ,2010,4,0,56.1
2010-05,4,AZ,2010,5,0,63.1
2010-06,4,AZ,2010,6,11,75.9
2010-07,4,AZ,2010,7,31,81.8
2010-08,4,AZ,2010,8,15,79.0
2010-09,4,AZ,2010,9,34,75.4
2010-10,4,AZ,2010,10,14,62.7
2010-11,4,AZ,2010,11,2,48.3
2010-12,4,AZ,2010,12,0,46.7
2011-01,4,AZ,2011,1,0,41.5
2011-02,4,AZ,2011,2,0,41.7
2011-03,4,AZ,2011,3,0,53.3
2011-04,4,AZ,2011,4,0,58.9
2011-05,4,AZ,2011,5,1,63.2
2011-06,4,AZ,2011,6,2,75.7
2011-07,4,AZ,2011,7,11,80.8
2011-08,4,AZ,2011,8,19,82.2
2011-09,4,AZ,2011,9,14,74.6
2011-10,4,AZ,2011,10,2,62.8
2011-11,4,AZ,2011,11,0,49.4
2011-12,4,AZ,2011,12,0,39.9
2012-01,4,AZ,2012,1,0,45.3
2012-02,4,AZ,2012,2,0,45.6
2012-03,4,AZ,2012,3,1,51.6
2012-04,4,AZ,2012,4,0,60.6
2012-05,4,AZ,2012,5,0,69.3
2012-06,4,AZ,2012,6,3,78.7
2012-07,4,AZ,2012,7,10,80.0
2012-08,4,AZ,2012,8,30,80.5
2012-09,4,AZ,2012,9,31,73.7
2012-10,4,AZ,2012,10,12,63.8
2012-11,4,AZ,2012,11,0,53.8
2012-12,4,AZ,2012,12,0,42.4
2013-01,4,AZ,2013,1,0,38.6
2013-02,4,AZ,2013,2,0,42.2
2013-03,4,AZ,2013,3,0,54.8
2013-04,4,AZ,2013,4,0,59.4
2013-05,4,AZ,2013,5,1,67.4
2013-06,4,AZ,2013,6,6,79.5
2013-07,4,AZ,2013,7,10,81.0
2013-08,4,AZ,2013,8,12,78.5
2013-09,4,AZ,2013,9,17,72.4
2013-10,4,AZ,2013,10,4,58.8
2013-11,4,AZ,2013,11,0,51.3
2013-12,4,AZ,2013,12,0,41.5
2014-01,4,AZ,2014,1,0,46.5
2014-02,4,AZ,2014,2,0,50.0
2014-03,4,AZ,2014,3,0,53.9
2014-04,4,AZ,2014,4,0,59.1
2014-05,4,AZ,2014,5,0,66.8
2014-06,4,AZ,2014,6,7,77.7
2014-07,4,AZ,2014,7,16,81.4
2014-08,4,AZ,2014,8,17,76.5
2014-09,4,AZ,2014,9,28,74.2
2014-10,4,AZ,2014,10,11,64.9
2014-11,4,AZ,2014,11,1,51.7
2014-12,4,AZ,2014,12,0,44.3
2015-01,4,AZ,2015,1,0,45.1
2015-02,4,AZ,2015,2,0,52.0
2015-03,4,AZ,2015,3,0,56.3
2015-04,4,AZ,2015,4,0,58.4
2015-05,4,AZ,2015,5,0,62.9
2015-06,4,AZ,2015,6,11,78.4
2015-07,4,AZ,2015,7,24,78.6
2015-08,4,AZ,2015,8,20,80.6
2015-09,4,AZ,2015,9,11,75.0
2015-10,4,AZ,2015,10,0,64.5
2015-11,4,AZ,2015,11,1,48.3
2015-12,4,AZ,2015,12,0,40.9
2016-01,4,AZ,2016,1,0,41.8
2016-02,4,AZ,2016,2,0,50.6
2016-03,4,AZ,2016,3,0,54.9
2016-04,4,AZ,2016,4,0,58.5
2016-05,4,AZ,2016,5,2,64.6
2016-06,4,AZ,2016,6,9,80.3
2016-07,4,AZ,2016,7,13,82.4
2016-08,4,AZ,2016,8,8,77.5
2016-09,4,AZ,2016,9,18,71.6
2016-10,4,AZ,2016,10,5,66.1
2016-11,4,AZ,2016,11,2,53.1
2016-12,4,AZ,2016,12,0,44.7
2017-01,4,AZ,2017,1,0,42.3
2017-02,4,AZ,2017,2,0,49.4
2017-03,4,AZ,2017,3,0,56.6
2017-04,4,AZ,2017,4,0,59.9
2017-05,4,AZ,2017,5,5,66.1
2017-06,4,AZ,2017,6,15,79.8
2017-07,4,AZ,2017,7,18,81.5
2017-08,4,AZ,2017,8,21,79.1
2017-09,4,AZ,2017,9,30,72.4
2017-10,4,AZ,2017,10,9,65.1
2017-11,4,AZ,2017,11,0,57.6
2017-12,4,AZ,2017,12,0,46.6
2018-01,4,AZ,2018,1,0,47.6
2018-02,4,AZ,2018,2,0,46.7
2018-03,4,AZ,2018,3,0,52.3
2018-04,4,AZ,2018,4,0,62.9
2018-05,4,AZ,2018,5,0,68.5
2018-06,4,AZ,2018,6,0,78.6
2018-07,4,AZ,2018,7,4,82.3
2018-08,4,AZ,2018,8,5,80.2
2018-09,4,AZ,2018,9,8,76.0
2018-10,4,AZ,2018,10,7,59.9
2018-11,4,AZ,2018,11,0,49.4
2018-12,4,AZ,2018,12,0,42.8
2019-01,4,AZ,2019,1,1,42.4
2019-02,4,AZ,2019,2,0,40.9
2019-03,4,AZ,2019,3,0,51.7
2019-04,4,AZ,2019,4,1,60.3
2019-05,4,AZ,2019,5,4,60.7
2019-06,4,AZ,2019,6,49,75.2
2019-07,4,AZ,2019,7,55,81.9
2019-08,4,AZ,2019,8,12,81.9
2019-09,4,AZ,2019,9,7,73.8
2019-10,4,AZ,2019,10,3,60.0
2019-11,4,AZ,2019,11,0,52.1
2019-12,4,AZ,2019,12,0,42.2
2020-01,4,AZ,2020,1,1,43.7
2020-02,4,AZ,2020,2,0,45.9
2020-03,4,AZ,2020,3,0,51.0
2020-04,4,AZ,2020,4,0,59.3
2020-05,4,AZ,2020,5,0,70.5
2020-06,4,AZ,2020,6,3,76.8
2020-07,4,AZ,2020,7,2,82.8
2020-08,4,AZ,2020,8,0,84.1
2020-09,4,AZ,2020,9,1,75.6
2020-10,4,AZ,2020,10,1,66.2
2020-11,4,AZ,2020,11,0,53.5
2020-12,4,AZ,2020,12,0,42.0
2021-01,4,AZ,2021,1,0,42.6
2021-02,4,AZ,2021,2,1,46.5
2021-03,4,AZ,2021,3,0,49.4
2021-04,4,AZ,2021,4,0,61.2
2021-05,4,AZ,2021,5,2,67.9
2021-06,4,AZ,2021,6,11,80.6
2021-07,4,AZ,2021,7,8,81.5
2021-08,4,AZ,2021,8,121,79.5
2021-09,4,AZ,2021,9,588,74.8
2021-10,4,AZ,2021,10,325,59.9
2021-11,4,AZ,2021,11,25,55.8
2021-12,4,AZ,2021,12,5,45.6
2022-01,4,AZ,2022,1,2,43.6
2022-02,4,AZ,2022,2,1,44.2
2022-03,4,AZ,2022,3,0,51.8
2022-04,4,AZ,2022,4,0,60.8
2022-05,4,AZ,2022,5,1,68.6
2022-06,4,AZ,2022,6,4,78.5
2022-07,4,AZ,2022,7,5,82.0
2022-08,4,AZ,2022,8,8,78.6
2022-09,4,AZ,2022,9,11,75.5
2022-10,4,AZ,2022,10,12,61.6
2022-11,4,AZ,2022,11,1,46.0
2022-12,4,AZ,2022,12,0,43.0
